Date,temperature,production,Anomaly,million bushel
1997,58.7,115.3,-1.2,
1999,61.3,150.5,1.4,
2000,60.3,128.5,0.4,
2001,60.8,122.1,0.9,
2002,59.4,103.6,-0.5,
2003,59.9,128.6,0,
2004,60.1,164.5,0.2,
2005,60.8,128,0.9,
2006,62.2,140.4,2.3,
2007,60,102,0.1,
2008,59.6,122.1,-0.3,
2009,59.4,74.8,-0.5,
2010,60.3,119.4,0.4,
2011,61.6,138.3,1.7,
2012,63.2,154.8,3.3,
2013,58.8,105.4,-1.1,
2014,58.9,100.6,-1,
2015,60.8,128.7,0.9,
2016,62.3,136.5,2.4,
2017,61.8,98.6,1.9,
2018,60.2,122.2,0.3,
